gender,handphone,usage
L,7,Media Sosial
L,8,Media Sosial
L,4,Media Sosial
L,5,Media Sosial
L,5,Media Sosial
L,7,Media Sosial
L,4,Media Sosial
P,5,Media Sosial
L,7,Media Sosial
L,7,Game
P,3,Konten edukasi
P,5,Media sosial
L,12,Game
P,7,Media Sosial
L,7,Media Sosial
L,6,Konten edukasi
P,7,Game
L,6,Media Sosial
P,7,Media Sosial
L,5,Game
L,7,Media Sosial
P,7,Media sosial
P,9,Media Sosial
P,5,Media Sosial
P,10,Konten edukasi
P,7,Media Sosial
